Date,Ticker Symbol,Close,Open,Volume
13-12-2011,GS,95.0400,99.1900,10114300
14-12-2011,GS,93.2500,93.7800,8376600
15-12-2011,GS,91.9000,94.7400,8163200
16-12-2011,GS,90.1000,92.7100,10054000
19-12-2011,GS,87.7000,90.6200,9545300
20-12-2011,GS,90.9800,89.8200,8613400
21-12-2011,GS,92.0000,91.0400,6424300
22-12-2011,GS,94.4200,92.1200,8286600
23-12-2011,GS,93.7900,94.8000,3920600
27-12-2011,GS,91.9000,93.5000,3672900
28-12-2011,GS,90.1200,91.6600,3917900
29-12-2011,GS,91.0100,90.5900,4290500
30-12-2011,GS,90.4300,90.5300,4185100
3-1-2012,GS,95.3600,92.9700,8646500
4-1-2012,GS,94.7400,94.7300,7407200
5-1-2012,GS,94.5800,93.9500,8131300
6-1-2012,GS,93.4200,93.8000,5941000
9-1-2012,GS,94.6900,93.4900,5018400
10-1-2012,GS,98.3300,97.3600,7684900
11-1-2012,GS,99.7600,97.9400,7222900
12-1-2012,GS,101.2100,100.5600,6862000
13-1-2012,GS,98.9600,98.0000,7616700
17-1-2012,GS,97.6800,98.6200,8048400
18-1-2012,GS,104.3100,99.0000,17968100
19-1-2012,GS,107.6800,106.2500,11482000
20-1-2012,GS,108.7400,107.3200,8446100
23-1-2012,GS,108.1900,108.4900,7093200
24-1-2012,GS,108.8700,106.7900,4547300
25-1-2012,GS,108.2700,106.2300,7928600
26-1-2012,GS,108.5600,108.6100,6911800
27-1-2012,GS,111.7700,107.7700,8410000
30-1-2012,GS,109.7300,110.3700,6362900
31-1-2012,GS,111.4700,110.6900,8029400
1-2-2012,GS,113.4500,112.6100,11336400
2-2-2012,GS,113.3900,114.3400,6625800
3-2-2012,GS,117.5300,115.6100,7457100
6-2-2012,GS,117.3900,116.3900,3423800
7-2-2012,GS,115.9800,116.7700,5728300
8-2-2012,GS,116.1500,116.6100,4958100
9-2-2012,GS,115.8800,117.1900,4770100
10-2-2012,GS,114.1200,114.5200,5850800
13-2-2012,GS,114.5300,115.8600,3993100
14-2-2012,GS,112.8700,113.6600,4871900
15-2-2012,GS,113.1700,113.2800,6117400
16-2-2012,GS,114.7400,112.4500,6374400
17-2-2012,GS,115.9100,115.4600,5186300
21-2-2012,GS,116.6300,116.2200,5321200
22-2-2012,GS,114.3600,116.2200,4509600
23-2-2012,GS,115.8000,114.6200,5610200
24-2-2012,GS,115.8700,116.3200,4878000
27-2-2012,GS,116.2300,114.5200,4371100
28-2-2012,GS,117.1100,116.0000,6453000
29-2-2012,GS,115.1400,116.5100,6651600
1-3-2012,GS,121.1300,115.9700,10491300
2-3-2012,GS,119.9600,121.4100,7047600
5-3-2012,GS,118.6300,119.6000,5618900
6-3-2012,GS,113.6700,116.1200,8161600
7-3-2012,GS,116.4000,114.6600,5600200
8-3-2012,GS,117.1700,117.7300,4784600
9-3-2012,GS,117.2900,117.6200,5000500
12-3-2012,GS,116.9900,117.7000,4060600
13-3-2012,GS,124.5400,118.4000,11891600
14-3-2012,GS,120.3700,124.5200,14838700
15-3-2012,GS,123.0600,121.7300,7246700
