Date,Close,Open,Volume,sma_10,ema,rsi,mom,next_day_close
04-05-2016,23.5475,23.8,41026015,24.762,24.57154178,19.32833552,-0.2475,23.31
05-05-2016,23.31,23.5,35892546,24.44375,24.34217055,16.62312663,-0.2375,23.18
06-05-2016,23.18,23.3425,43699936,24.11975,24.13086681,15.17037181,-0.13,23.1975
09-05-2016,23.1975,23.25,32936433,23.8125,23.96116375,16.39976784,0.0175,23.355
10-05-2016,23.355,23.3325,33686836,23.53925,23.85095216,28.11927184,0.1575,23.1275
11-05-2016,23.1275,23.37,28719187,23.4065,23.71941541,22.43955334,-0.2275,22.585
12-05-2016,22.585,23.18,76315140,23.29425,23.51315806,14.00655,-0.5425,22.63
13-05-2016,22.63,22.5,44392780,23.21375,23.35258387,17.23173549,0.045,23.47
16-05-2016,23.47,23.0975,61259756,23.21975,23.37393225,55.85967945,0.84,23.3725
17-05-2016,23.3725,23.6375,46916989,23.1775,23.37367184,52.31712177,-0.0975,23.64
18-05-2016,23.64,23.54,42073287,23.18675,23.42209515,60.83523162,0.2675,23.55
19-05-2016,23.55,23.66,30442100,23.21075,23.44535057,56.58410572,-0.09,23.805
20-05-2016,23.805,23.66,32026218,23.27325,23.51074138,65.19738235,0.255,24.1075
23-05-2016,24.1075,23.9675,38018643,23.36425,23.61924295,73.10838796,0.3025,24.475
24-05-2016,24.475,24.305,35140174,23.47625,23.77483514,80.00910238,0.3675,24.905
25-05-2016,24.905,24.6675,38642306,23.654,23.98031966,85.46451743,0.43,25.1025
26-05-2016,25.1025,24.92,56327602,23.90575,24.18435245,87.43340838,0.1975,25.0875
27-05-2016,25.0875,24.86,36595204,24.1515,24.34856109,86.32332768,-0.015,24.965
31-05-2016,24.965,24.9,42307212,24.301,24.46064089,76.41883168,-0.1225,24.615
01-06-2016,24.615,24.755,29173287,24.42525,24.48870619,54.20637691,-0.35,24.43
02-06-2016,24.43,24.4,40191600,24.50425,24.47803233,45.47331608,-0.185,24.48
03-06-2016,24.48,24.4475,28504888,24.59725,24.47839009,48.28791454,0.05,24.6575
06-06-2016,24.6575,24.4975,23292306,24.6825,24.51095553,57.92543586,0.1775,24.7575
07-06-2016,24.7575,24.8125,22409450,24.7475,24.5557818,62.80687247,0.1,24.735
08-06-2016,24.735,24.755,20848131,24.7735,24.58836692,60.82222726,-0.0225,24.9125
09-06-2016,24.9125,24.625,26532148,24.77425,24.64730021,70.12985319,0.1775,24.7075
10-06-2016,24.7075,24.6325,31714740,24.73475,24.65824563,52.21970717,-0.205,24.335
13-06-2016,24.335,24.6725,38063179,24.6595,24.5994737,33.04903308,-0.3725,24.365
14-06-2016,24.365,24.33,31931944,24.5995,24.55684211,35.43521554,0.03,24.285
15-06-2016,24.285,24.455,29445947,24.5665,24.50741628,31.67244968,-0.08,24.3875
16-06-2016,24.3875,24.1125,31240816,24.56225,24.48561332,41.60364938,0.1025,23.8325
17-06-2016,23.8325,24.155,61008499,24.4975,24.36686544,20.97221804,-0.555,23.775
20-06-2016,23.775,24,34411901,24.40925,24.25925354,19.70662231,-0.0575,23.9775
21-06-2016,23.9775,23.735,35547058,24.33125,24.20802563,36.55981761,0.2025,23.8875
22-06-2016,23.8875,24.0625,29709624,24.2465,24.14974824,32.74184216,-0.09,24.025
23-06-2016,24.025,23.985,32241424,24.15775,24.12706674,43.92508889,0.1375,23.35
24-06-2016,23.35,23.2275,75211627,24.022,23.98578188,21.7417093,-0.675,23.01
27-06-2016,23.01,23.25,46625252,23.8895,23.80836699,16.49623234,-0.34,23.3975
28-06-2016,23.3975,23.225,40449051,23.79275,23.7336639,37.85588219,0.3875,23.6
29-06-2016,23.6,23.4925,36531006,23.72425,23.70936137,46.75295076,0.2025,23.9
